booking_id,number_of_adults,number_of_children,number_of_weekend_nights,number_of_week_nights,type_of_meal,car_parking_space,room_type,lead_time,market_segment_type,is_repeat_guest,num_previous_cancellations,num_previous_bookings_not_canceled,average_price,special_requests,month_of_reservation,day_of_week,is_cancellation
INN25673,2,0,2,8,Meal Plan 1,0,Room_Type 1,150,Online,0,0,0,101.15,1,Jul,Saturday,1
INN36193,2,0,1,2,Not Selected,0,Room_Type 1,42,Online,0,0,0,71.1,1,Mar,Sunday,0
INN21238,2,0,1,3,Meal Plan 2,0,Room_Type 1,2,Online,0,0,0,123.68,1,Nov,Wednesday,0
INN23760,2,0,2,2,Meal Plan 1,0,Room_Type 1,28,Online,0,0,0,133.95,1,May,Tuesday,0
INN16701,2,0,0,3,Meal Plan 1,0,Room_Type 1,259,Offline,0,0,0,90.0,0,May,Saturday,1
INN30784,3,0,2,2,Meal Plan 1,0,Room_Type 4,45,Online,0,0,0,124.1,2,Mar,Monday,0
INN31176,2,0,4,7,Not Selected,0,Room_Type 1,0,Online,0,0,0,71.25,0,Dec,Sunday,0
INN05389,2,0,1,2,Meal Plan 1,0,Room_Type 4,35,Online,0,0,0,82.45,1,Jan,Monday,0
INN03139,2,0,1,3,Meal Plan 1,0,Room_Type 1,78,Offline,0,0,0,45.5,0,Mar,Wednesday,0
INN06950,2,0,2,2,Meal Plan 1,0,Room_Type 1,180,Online,0,0,0,85.0,0,Nov,Tuesday,1
INN25866,2,0,1,3,Meal Plan 2,0,Room_Type 1,210,Offline,0,0,0,86.0,0,Oct,Sunday,1
INN30566,2,0,0,1,Meal Plan 1,0,Room_Type 1,41,Online,0,0,0,81.08,0,Apr,Saturday,1
INN13867,2,1,1,0,Meal Plan 1,0,Room_Type 1,186,Online,0,0,0,112.5,0,Aug,Tuesday,1
INN32517,1,0,0,2,Meal Plan 1,0,Room_Type 1,14,Offline,0,0,0,100.0,0,Oct,Sunday,0
INN08269,1,0,1,1,Meal Plan 1,0,Room_Type 1,85,Online,0,0,0,117.0,1,Jun,Monday,0
INN23829,2,0,1,0,Not Selected,0,Room_Type 1,58,Online,0,0,0,99.0,3,Sep,Wednesday,0
INN18280,2,0,1,1,Meal Plan 1,0,Room_Type 1,80,Online,0,0,0,126.9,1,May,Wednesday,0
INN31674,2,2,2,2,Meal Plan 1,0,Room_Type 6,15,Online,0,0,0,174.0,2,Sep,Wednesday,0
INN31575,2,0,0,3,Meal Plan 1,0,Room_Type 4,0,Online,0,0,0,84.14,1,Apr,Saturday,0
INN32323,1,0,6,15,Meal Plan 1,0,Room_Type 4,17,Online,0,0,0,103.39,1,Feb,Monday,1
INN21944,2,0,2,4,Meal Plan 1,0,Room_Type 1,18,Online,0,0,0,81.35,0,Oct,Wednesday,0
INN07309,2,0,0,1,Not Selected,0,Room_Type 1,143,Online,0,0,0,94.5,0,Aug,Monday,0
INN05550,1,0,0,1,Meal Plan 1,0,Room_Type 1,1,Online,0,0,0,89.0,0,Aug,Sunday,1
INN13995,1,0,1,0,Meal Plan 1,0,Room_Type 1,0,Corporate,0,0,0,65.0,0,Jan,Thursday,0
INN30651,2,0,2,1,Not Selected,0,Room_Type 1,127,Online,0,0,0,79.2,1,Nov,Tuesday,1
INN23282,2,0,0,1,Meal Plan 1,0,Room_Type 1,0,Corporate,0,0,0,75.0,1,Dec,Monday,0
INN15455,2,0,2,1,Meal Plan 1,0,Room_Type 1,76,Online,0,0,0,80.3,1,Feb,Wednesday,0
INN14316,2,0,1,0,Meal Plan 1,0,Room_Type 1,25,Online,0,0,0,101.0,1,Apr,Wednesday,0
INN16372,0,2,0,3,Meal Plan 1,0,Room_Type 2,230,Online,0,0,0,86.5,1,Jul,Thursday,1
INN28222,1,0,0,2,Meal Plan 1,0,Room_Type 1,30,Online,0,0,0,86.4,0,Mar,Sunday,0
INN24598,2,0,2,0,Not Selected,0,Room_Type 1,8,Online,0,0,0,95.2,0,Sep,Tuesday,0
INN33737,2,0,2,3,Not Selected,0,Room_Type 2,34,Online,0,0,0,94.3,0,Oct,Sunday,0
INN29267,2,0,2,3,Meal Plan 1,0,Room_Type 4,79,Online,0,0,0,132.3,1,Oct,Saturday,0
INN36180,1,0,0,1,Meal Plan 1,0,Room_Type 1,2,Online,0,0,0,84.85,1,Jun,Friday,0
INN25907,1,0,0,1,Not Selected,0,Room_Type 3,0,Complementary,0,0,0,0.0,0,Dec,Sunday,0
INN12770,1,0,1,0,Meal Plan 1,0,Room_Type 1,5,Corporate,1,0,1,65.0,0,Oct,Thursday,0
INN07068,3,0,1,2,Meal Plan 1,0,Room_Type 1,16,Offline,0,0,0,118.0,1,Feb,Monday,0
INN03788,1,0,0,1,Meal Plan 1,0,Room_Type 1,3,Online,0,0,0,106.0,1,Mar,Saturday,0
INN12029,2,0,0,4,Meal Plan 1,0,Room_Type 4,94,Offline,0,0,0,106.08,0,May,Friday,0
INN01000,2,0,2,5,Meal Plan 1,0,Room_Type 1,29,Online,0,0,0,79.54,1,Jan,Monday,0
INN21438,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,Corporate,0,0,0,75.0,0,Dec,Friday,0
INN03388,3,0,1,0,Meal Plan 1,1,Room_Type 4,71,Online,0,0,0,146.7,2,Jul,Tuesday,0
INN02731,2,0,1,1,Meal Plan 1,0,Room_Type 4,24,Online,0,0,0,155.0,2,May,Monday,0
INN07197,2,1,2,4,Meal Plan 1,0,Room_Type 4,4,Online,0,0,0,145.25,0,Jun,Sunday,1
INN05720,2,0,0,4,Meal Plan 1,0,Room_Type 4,16,Online,0,0,0,135.8,0,Jun,Friday,0
INN35231,1,0,0,2,Meal Plan 1,0,Room_Type 1,19,Corporate,0,0,0,90.0,0,Jun,Friday,0
INN03458,2,0,1,1,Meal Plan 1,0,Room_Type 4,47,Online,0,0,0,131.4,0,Jun,Monday,1
INN00860,2,1,1,4,Meal Plan 1,0,Room_Type 1,73,Online,0,0,0,135.0,1,Oct,Friday,1
INN17468,2,1,1,4,Meal Plan 1,0,Room_Type 1,139,Online,0,0,0,116.45,0,Jul,Wednesday,1
INN23427,2,0,2,2,Meal Plan 1,0,Room_Type 1,29,Offline,0,0,0,68.0,0,Mar,Monday,0
INN04529,2,0,0,3,Meal Plan 1,0,Room_Type 1,304,Online,0,0,0,89.0,0,Nov,Saturday,1
INN27977,2,0,0,3,Meal Plan 1,0,Room_Type 4,88,Online,0,0,0,132.3,1,Oct,Saturday,1
INN05607,1,0,0,3,Meal Plan 1,0,Room_Type 1,14,Online,0,0,0,81.0,1,Jan,Sunday,0
INN32773,1,0,0,2,Meal Plan 1,0,Room_Type 1,164,Offline,0,0,0,100.0,0,Oct,Monday,0
INN31837,2,0,2,5,Meal Plan 1,0,Room_Type 1,164,Offline,0,0,0,82.28,0,Oct,Thursday,0
INN15184,2,0,1,3,Meal Plan 1,0,Room_Type 1,153,Online,0,0,0,133.88,2,Jul,Wednesday,1
INN19226,2,1,0,2,Not Selected,0,Room_Type 1,54,Offline,0,0,0,121.68,1,Sep,Sunday,0
INN08817,2,0,2,1,Meal Plan 2,0,Room_Type 1,122,Offline,0,0,0,107.0,1,Mar,Tuesday,0
INN12282,2,0,1,1,Meal Plan 1,0,Room_Type 1,3,Corporate,0,0,0,100.0,0,Aug,Wednesday,0
INN29470,2,0,0,3,Meal Plan 1,0,Room_Type 1,106,Offline,0,0,0,77.33,0,Mar,Thursday,0
INN26502,2,0,0,3,Meal Plan 1,0,Room_Type 1,116,Online,0,0,0,89.25,0,Oct,Friday,0
INN33552,2,0,1,0,Meal Plan 1,0,Room_Type 1,1,Online,0,0,0,111.0,0,Apr,Wednesday,0
INN23616,2,2,2,1,Meal Plan 1,0,Room_Type 6,4,Online,0,0,0,194.33,2,Mar,Tuesday,0
INN10365,3,0,2,0,Meal Plan 1,0,Room_Type 4,13,Online,0,0,0,187.0,1,Jul,Tuesday,0
INN30057,2,0,2,5,Meal Plan 1,0,Room_Type 1,7,Offline,0,0,0,71.7,0,Mar,Wednesday,0
INN03601,2,1,1,2,Meal Plan 1,0,Room_Type 1,290,Offline,0,0,0,89.5,1,Jun,Sunday,0
INN15813,1,0,2,0,Meal Plan 2,0,Room_Type 1,386,Offline,0,0,0,90.0,0,Oct,Tuesday,0
INN16425,2,2,1,0,Meal Plan 1,0,Room_Type 6,30,Online,0,0,0,162.35,1,Jun,Wednesday,0
INN33268,1,0,0,1,Meal Plan 1,0,Room_Type 1,78,Online,0,0,0,86.4,2,Nov,Friday,0
INN27646,2,0,0,5,Meal Plan 1,0,Room_Type 1,140,Offline,0,0,0,70.0,0,Dec,Friday,0
INN00776,2,0,1,3,Meal Plan 1,0,Room_Type 1,59,Online,0,0,0,109.8,1,Aug,Wednesday,0
INN10133,2,0,0,2,Meal Plan 2,0,Room_Type 1,0,Offline,0,0,0,109.0,0,Aug,Monday,0
INN25324,2,0,0,1,Meal Plan 1,0,Room_Type 1,10,Online,0,0,0,89.3,0,Jan,Sunday,0
INN14481,2,0,2,1,Meal Plan 1,0,Room_Type 2,3,Offline,0,0,0,65.0,2,Aug,Wednesday,0
INN29554,2,0,2,3,Meal Plan 1,0,Room_Type 1,2,Online,0,0,0,90.78,0,Nov,Monday,0
INN02873,2,0,1,3,Meal Plan 2,0,Room_Type 1,66,Online,0,0,0,152.15,1,May,Wednesday,0
INN18569,2,0,2,1,Not Selected,0,Room_Type 1,197,Online,0,0,0,82.5,0,Oct,Tuesday,1
INN04088,3,0,0,2,Meal Plan 1,0,Room_Type 4,96,Online,0,0,0,110.97,0,Oct,Friday,1
INN02607,2,0,1,0,Meal Plan 1,0,Room_Type 4,253,Online,0,0,0,115.2,2,Sep,Wednesday,1
INN06240,1,0,0,1,Meal Plan 1,0,Room_Type 1,5,Online,0,0,0,111.0,0,Dec,Friday,0
INN25106,2,0,2,5,Meal Plan 1,0,Room_Type 1,87,Online,0,0,0,134.42,1,Jun,Tuesday,0
INN34528,1,0,1,2,Not Selected,0,Room_Type 5,60,Online,0,0,0,204.0,0,Nov,Wednesday,1
INN14244,2,0,0,3,Not Selected,0,Room_Type 1,0,Online,0,0,0,129.0,3,Aug,Thursday,0
INN23655,1,0,1,2,Meal Plan 1,0,Room_Type 4,129,Online,0,0,0,121.5,1,May,Sunday,0
INN01126,2,0,0,3,Meal Plan 1,0,Room_Type 4,59,Online,0,0,0,139.5,1,Oct,Friday,1
INN17635,1,0,1,2,Meal Plan 1,0,Room_Type 1,180,Offline,0,0,0,120.0,0,Oct,Wednesday,1
INN01626,2,0,1,0,Meal Plan 1,0,Room_Type 1,1,Online,0,0,0,141.0,0,Jun,Wednesday,0
INN15569,2,0,2,0,Not Selected,0,Room_Type 1,11,Online,0,0,0,81.0,1,Feb,Wednesday,0
INN18871,2,0,2,4,Not Selected,0,Room_Type 1,85,Online,0,0,0,109.65,0,May,Monday,1
INN32054,2,0,2,2,Meal Plan 1,0,Room_Type 1,51,Offline,0,0,0,75.0,0,Nov,Sunday,0
INN22104,2,0,2,2,Not Selected,0,Room_Type 1,18,Online,0,0,0,83.04,1,Dec,Sunday,0
INN19106,2,0,0,2,Meal Plan 1,0,Room_Type 1,158,Online,0,0,0,90.0,1,Nov,Sunday,1
INN21386,3,0,0,2,Meal Plan 1,0,Room_Type 1,239,Online,0,0,0,128.7,1,Oct,Sunday,1
INN27752,1,0,0,1,Meal Plan 1,0,Room_Type 1,59,Offline,0,0,0,80.0,0,Jan,Sunday,0
INN05399,1,0,1,2,Meal Plan 1,0,Room_Type 1,10,Online,0,0,0,119.0,0,Oct,Sunday,1
INN03007,2,0,2,1,Meal Plan 1,0,Room_Type 1,193,Online,0,0,0,97.71,1,Sep,Monday,0
INN22110,2,0,1,2,Meal Plan 1,0,Room_Type 1,19,Online,0,0,0,104.0,2,Dec,Wednesday,0
INN24820,2,0,1,2,Meal Plan 1,0,Room_Type 4,189,Online,0,0,0,109.8,0,Oct,Sunday,1
INN33280,2,0,2,2,Not Selected,0,Room_Type 1,214,Online,0,0,0,96.9,2,Sep,Sunday,0
INN11482,2,0,2,5,Meal Plan 1,0,Room_Type 1,41,Offline,0,0,0,69.29,0,Dec,Thursday,0
INN30460,2,0,1,3,Meal Plan 1,0,Room_Type 1,109,Offline,0,0,0,43.5,2,Dec,Thursday,0
INN10684,2,0,0,2,Meal Plan 1,1,Room_Type 1,58,Online,0,0,0,102.6,1,Dec,Sunday,0
INN04784,2,0,2,4,Meal Plan 1,0,Room_Type 1,46,Online,0,0,0,81.31,0,Aug,Tuesday,0
INN28111,2,0,2,1,Meal Plan 1,0,Room_Type 4,172,Offline,0,0,0,90.95,1,Sep,Tuesday,0
INN10211,2,0,0,1,Meal Plan 1,0,Room_Type 1,289,Offline,0,0,0,67.0,0,Oct,Tuesday,0
INN11662,2,0,0,5,Meal Plan 1,0,Room_Type 1,25,Offline,0,0,0,68.0,0,Nov,Thursday,0
INN23192,1,0,2,2,Meal Plan 1,0,Room_Type 1,163,Offline,0,0,0,100.0,0,Jun,Tuesday,1
INN12333,2,0,2,1,Meal Plan 1,0,Room_Type 1,85,Online,0,0,0,52.36,0,Jul,Wednesday,1
INN21262,1,0,0,1,Meal Plan 1,0,Room_Type 1,4,Corporate,0,0,0,81.0,0,Feb,Monday,0
INN09814,1,0,2,1,Meal Plan 1,0,Room_Type 1,93,Offline,0,0,0,115.0,0,Oct,Monday,1
INN20343,2,0,0,2,Not Selected,0,Room_Type 1,73,Online,0,0,0,116.1,0,May,Thursday,1
INN14262,1,0,0,2,Meal Plan 2,0,Room_Type 1,346,Offline,0,0,0,90.0,0,Sep,Thursday,0
INN17830,2,0,0,2,Meal Plan 1,0,Room_Type 1,31,Online,0,0,0,108.9,1,May,Thursday,0
INN20999,2,1,2,1,Meal Plan 1,0,Room_Type 7,32,Online,0,0,0,214.21,1,Oct,Monday,0
INN33867,2,0,0,1,Meal Plan 1,0,Room_Type 1,27,Offline,0,0,0,120.0,0,Jun,Saturday,0
INN23211,2,0,2,2,Meal Plan 1,0,Room_Type 1,50,Online,0,0,0,126.0,2,Oct,Tuesday,0
INN35409,2,1,0,1,Meal Plan 1,0,Room_Type 2,3,Complementary,1,0,3,0.0,1,Jul,Monday,0
INN34829,2,0,1,2,Meal Plan 1,0,Room_Type 1,168,Offline,0,0,0,85.0,0,Apr,Sunday,1
INN25616,2,0,2,2,Meal Plan 1,0,Room_Type 1,8,Online,0,0,0,90.0,0,Aug,Wednesday,0
INN26234,1,0,0,1,Meal Plan 1,1,Room_Type 1,52,Corporate,0,0,0,67.0,0,Oct,Saturday,0
INN31304,2,2,0,3,Meal Plan 1,0,Room_Type 7,1,Online,0,0,0,209.1,2,Jun,Friday,0
INN00498,1,0,1,1,Meal Plan 1,0,Room_Type 1,5,Online,0,0,0,95.0,1,Apr,Wednesday,0
INN31306,2,0,0,1,Meal Plan 1,0,Room_Type 1,37,Online,0,0,0,108.9,1,Jun,Saturday,0
INN35371,3,0,0,2,Meal Plan 1,0,Room_Type 4,3,Online,0,0,0,157.0,2,Jun,Sunday,0
INN20373,2,0,0,1,Not Selected,0,Room_Type 1,82,Online,0,0,0,125.1,0,Sep,Monday,1
INN25226,3,0,2,1,Meal Plan 1,0,Room_Type 4,59,Online,0,0,0,138.6,2,Dec,Monday,0
INN33633,2,0,0,1,Meal Plan 1,0,Room_Type 1,101,Online,0,0,0,126.9,0,May,Saturday,0
INN21327,2,0,0,2,Meal Plan 1,0,Room_Type 1,1,Offline,1,1,0,102.6,0,Sep,Saturday,0
INN26347,2,0,0,2,Not Selected,0,Room_Type 1,47,Online,0,0,0,125.1,1,Sep,Sunday,0
INN03772,2,0,2,2,Meal Plan 1,0,Room_Type 1,149,Online,0,0,0,99.45,0,May,Sunday,1
INN13754,1,0,2,1,Meal Plan 2,0,Room_Type 1,220,Offline,0,0,0,128.0,0,Sep,Monday,1
INN23851,2,0,0,4,Meal Plan 1,0,Room_Type 1,177,Online,0,0,0,76.5,2,Aug,Saturday,0
INN24490,2,0,0,2,Meal Plan 1,0,Room_Type 1,182,Online,0,0,0,117.9,2,Sep,Sunday,1
INN03816,2,1,1,2,Meal Plan 1,0,Room_Type 1,40,Online,0,0,0,128.1,0,Jun,Wednesday,1
INN15442,2,0,1,1,Meal Plan 1,0,Room_Type 1,35,Offline,0,0,0,85.5,0,Sep,Monday,0
INN21101,1,0,0,1,Meal Plan 1,0,Room_Type 1,4,Aviation,0,0,0,95.0,0,Oct,Thursday,0
INN27263,2,0,2,1,Meal Plan 1,0,Room_Type 1,282,Offline,0,0,0,76.67,0,Oct,Tuesday,0
INN17398,1,0,1,1,Meal Plan 1,0,Room_Type 1,118,Offline,0,0,0,110.0,0,Jun,Wednesday,0
INN16800,2,0,2,4,Meal Plan 1,0,Room_Type 1,163,Online,0,0,0,76.5,2,Aug,Saturday,0
INN25395,1,0,0,1,Meal Plan 1,0,Room_Type 1,5,Online,0,0,0,71.84,1,Feb,Saturday,0
INN36073,2,1,0,3,Meal Plan 1,0,Room_Type 1,90,Online,0,0,0,130.5,1,Jul,Thursday,0
INN15912,2,2,4,7,Meal Plan 1,0,Room_Type 6,16,Online,0,0,0,133.6,0,Dec,Monday,0
INN15207,2,0,0,5,Meal Plan 1,0,Room_Type 4,129,Online,0,0,0,124.2,2,Aug,Thursday,0
INN03423,2,0,2,4,Meal Plan 1,0,Room_Type 1,29,Online,0,0,0,104.0,1,Nov,Friday,0
INN09683,2,0,0,1,Meal Plan 1,1,Room_Type 6,36,Online,0,0,0,103.95,0,Apr,Sunday,0
INN17189,2,0,0,1,Not Selected,0,Room_Type 1,8,Online,0,0,0,119.0,0,May,Friday,0
INN26231,1,0,1,2,Meal Plan 1,0,Room_Type 5,248,Corporate,0,0,0,106.0,0,Oct,Wednesday,1
INN00814,1,0,1,2,Meal Plan 1,0,Room_Type 1,57,Offline,0,0,0,75.33,0,Jun,Sunday,0
INN20660,2,0,0,2,Meal Plan 1,0,Room_Type 1,8,Online,0,0,0,90.0,1,Nov,Sunday,0
INN19424,2,0,1,4,Not Selected,0,Room_Type 1,117,Online,0,0,0,82.45,0,Apr,Friday,1
INN25661,2,0,1,0,Not Selected,0,Room_Type 1,0,Online,0,0,0,79.0,0,Feb,Wednesday,0
INN19603,1,0,1,0,Meal Plan 1,0,Room_Type 1,6,Online,0,0,0,106.4,0,Sep,Wednesday,0
INN30369,2,0,0,2,Meal Plan 1,0,Room_Type 1,17,Corporate,0,0,0,80.0,1,Mar,Saturday,0
INN24779,2,0,2,4,Meal Plan 1,0,Room_Type 1,28,Online,0,0,0,115.37,1,Aug,Tuesday,1
INN20196,2,0,1,1,Meal Plan 2,0,Room_Type 1,7,Offline,0,0,0,112.0,0,May,Monday,0
INN04296,2,0,2,1,Meal Plan 2,0,Room_Type 1,138,Offline,0,0,0,94.5,0,Aug,Tuesday,0
INN16906,2,0,1,2,Meal Plan 1,0,Room_Type 1,8,Online,0,0,0,96.0,1,Dec,Wednesday,0
