booking_id,number_of_weekend_nights,type_of_meal,room_type,market_segment_type,num_previous_cancellations,average_price,number_of_week_nights,number_of_adults,number_of_children,car_parking_space,lead_time,is_repeat_guest,num_previous_bookings_not_canceled,special_requests,month_of_reservation,day_of_week,split
INN03957,2,Not Selected,Room_Type 1,Online,0,79.2,0,2,0,0,74,0,0,2,Nov,Tuesday,train
INN24506,0,Meal Plan 1,Room_Type 4,Online,0,115.04,3,2,0,0,53,0,0,1,Sep,Thursday,train
INN14791,1,Meal Plan 1,Room_Type 1,Online,0,159.0,3,2,1,0,21,0,0,0,Aug,Wednesday,train
INN33188,1,Not Selected,Room_Type 1,Online,0,126.65,4,2,0,0,113,0,0,0,May,Friday,train
INN02138,0,Not Selected,Room_Type 1,Online,0,83.7,2,2,0,0,54,0,0,2,Nov,Sunday,train
INN27574,1,Not Selected,Room_Type 1,Online,0,106.33,2,2,0,0,15,0,0,0,Apr,Sunday,train
INN18099,0,Meal Plan 1,Room_Type 4,Online,0,118.8,3,2,0,0,61,0,0,0,Apr,Saturday,train
INN10095,0,Not Selected,Room_Type 1,Online,0,108.0,2,2,0,0,51,0,0,1,Oct,Friday,train
INN26178,2,Meal Plan 1,Room_Type 4,Online,0,126.0,1,2,0,0,10,0,0,0,May,Tuesday,train
INN17838,1,Meal Plan 1,Room_Type 1,Online,0,64.64,1,2,0,0,39,0,0,1,Feb,Thursday,train
INN25276,0,Meal Plan 1,Room_Type 1,Online,0,72.9,1,1,0,0,10,0,0,0,Jan,Monday,train
INN03467,2,Meal Plan 1,Room_Type 1,Offline,0,72.25,2,2,0,0,25,0,0,0,Jul,Sunday,train
INN33302,0,Meal Plan 1,Room_Type 1,Offline,0,130.0,2,1,0,0,188,0,0,0,Jun,Friday,train
INN31690,0,Meal Plan 1,Room_Type 1,Online,0,90.9,3,1,0,0,198,0,0,0,Oct,Thursday,train
INN26582,1,Meal Plan 1,Room_Type 1,Offline,0,70.0,5,2,0,0,15,0,0,1,Dec,Thursday,train
INN31214,0,Meal Plan 1,Room_Type 1,Online,0,130.5,1,2,1,0,30,0,0,2,Apr,Sunday,train
INN08255,1,Meal Plan 1,Room_Type 1,Online,0,98.0,1,2,0,0,2,0,0,1,Aug,Thursday,train
INN21813,0,Meal Plan 2,Room_Type 1,Offline,0,96.0,3,1,0,0,88,0,0,0,May,Thursday,train
INN34362,0,Meal Plan 1,Room_Type 1,Online,0,97.07,3,2,0,0,44,0,0,1,Nov,Thursday,train
INN27405,1,Meal Plan 1,Room_Type 1,Corporate,0,65.0,2,1,0,0,0,0,0,0,Jul,Thursday,train
INN14257,2,Meal Plan 1,Room_Type 1,Online,0,121.5,1,2,1,0,68,0,0,2,Jul,Tuesday,train
INN12654,0,Meal Plan 1,Room_Type 1,Offline,0,100.0,3,2,0,0,143,0,0,0,Aug,Saturday,train
INN19991,0,Meal Plan 2,Room_Type 1,Online,0,0.0,2,1,0,0,6,0,0,0,Dec,Sunday,train
INN10933,0,Meal Plan 1,Room_Type 4,Online,0,126.0,3,2,0,0,66,0,0,0,Jul,Thursday,train
INN14484,2,Meal Plan 1,Room_Type 1,Online,0,77.73,7,2,0,0,267,0,0,0,Dec,Sunday,train
INN17389,1,Meal Plan 1,Room_Type 4,Online,0,149.4,3,2,0,0,71,0,0,2,Sep,Saturday,train
INN18313,0,Meal Plan 1,Room_Type 4,Online,0,152.1,4,3,0,0,107,0,0,0,Aug,Friday,train
INN18784,0,Meal Plan 1,Room_Type 4,Online,0,135.0,2,3,0,0,15,0,0,2,Mar,Sunday,train
INN31613,2,Meal Plan 1,Room_Type 4,Online,0,138.71,5,1,0,0,11,0,0,3,Oct,Monday,train
INN06693,2,Not Selected,Room_Type 1,Online,0,109.0,1,2,0,0,25,0,0,2,May,Tuesday,train
INN18168,0,Meal Plan 2,Room_Type 1,Offline,0,97.0,2,2,0,0,28,0,0,0,Jan,Monday,train
INN00374,2,Meal Plan 1,Room_Type 1,Offline,0,185.0,2,2,0,0,56,0,0,0,Sep,Monday,train
INN12376,0,Not Selected,Room_Type 1,Online,0,125.1,2,2,0,0,38,0,0,1,Jul,Thursday,train
INN03216,1,Meal Plan 1,Room_Type 1,Corporate,1,67.0,1,1,0,0,7,1,16,1,Jul,Wednesday,train
INN12440,1,Meal Plan 1,Room_Type 4,Online,0,149.4,1,2,0,0,48,0,0,1,Aug,Wednesday,train
INN22832,1,Meal Plan 1,Room_Type 1,Online,0,111.35,3,2,0,0,1,0,0,1,May,Wednesday,train
INN04051,2,Meal Plan 1,Room_Type 4,Online,0,158.4,1,3,0,0,49,0,0,1,Oct,Monday,train
INN30245,0,Meal Plan 1,Room_Type 1,Offline,0,58.0,3,2,0,0,7,0,0,0,Dec,Saturday,train
INN09808,2,Meal Plan 2,Room_Type 1,Offline,0,94.5,1,2,0,0,103,0,0,0,Jul,Tuesday,train
INN06127,0,Not Selected,Room_Type 1,Online,0,134.0,4,2,0,0,5,0,0,0,Jun,Friday,train
INN15476,0,Meal Plan 2,Room_Type 1,Offline,0,134.75,3,2,1,0,8,0,0,2,Sep,Friday,train
INN11095,3,Meal Plan 1,Room_Type 1,Online,0,72.76,5,2,0,0,224,0,0,0,Aug,Wednesday,train
INN07501,0,Meal Plan 1,Room_Type 1,Offline,0,100.0,2,1,0,0,14,0,0,0,Oct,Sunday,train
INN01572,2,Meal Plan 2,Room_Type 1,Online,0,110.0,0,2,0,0,275,0,0,0,Apr,Tuesday,train
INN16679,0,Not Selected,Room_Type 4,Online,0,104.79,2,2,0,0,2,0,0,0,Jun,Friday,train
INN33514,0,Meal Plan 1,Room_Type 5,Corporate,0,106.0,2,1,0,0,5,1,2,1,Mar,Friday,train
INN28215,0,Meal Plan 1,Room_Type 1,Offline,0,120.0,3,1,0,0,71,0,0,0,Jun,Thursday,train
INN11621,1,Meal Plan 1,Room_Type 1,Corporate,0,65.0,0,1,0,0,0,0,0,0,Nov,Thursday,train
INN10507,1,Meal Plan 1,Room_Type 1,Offline,0,59.5,3,2,0,0,24,0,0,0,Feb,Sunday,train
INN09850,1,Meal Plan 1,Room_Type 7,Complementary,0,0.0,1,2,0,0,3,1,3,0,Oct,Thursday,train
INN30571,2,Meal Plan 1,Room_Type 1,Online,0,135.9,1,2,0,0,69,0,0,1,Sep,Tuesday,train
INN31283,0,Meal Plan 1,Room_Type 1,Offline,0,73.0,2,1,0,0,32,0,0,0,Nov,Monday,train
INN02303,2,Meal Plan 1,Room_Type 6,Online,0,149.6,2,2,2,0,159,0,0,0,Dec,Sunday,train
INN24972,1,Meal Plan 1,Room_Type 1,Offline,0,72.75,3,2,0,0,210,0,0,0,Oct,Sunday,train
INN02605,0,Not Selected,Room_Type 1,Online,0,139.0,2,2,0,0,8,0,0,1,Mar,Sunday,train
INN28422,2,Meal Plan 2,Room_Type 1,Offline,0,94.5,1,2,0,0,124,0,0,0,Aug,Tuesday,train
INN07280,1,Meal Plan 1,Room_Type 1,Online,0,127.5,1,2,0,0,42,0,0,1,Oct,Wednesday,train
INN32625,0,Meal Plan 1,Room_Type 4,Online,0,140.4,3,2,0,0,102,0,0,0,May,Saturday,train
INN34655,0,Meal Plan 1,Room_Type 1,Corporate,0,66.0,2,1,0,0,2,1,1,0,Jan,Saturday,train
INN14958,1,Meal Plan 1,Room_Type 1,Online,0,95.0,0,1,0,0,9,0,0,0,Apr,Wednesday,train
INN20573,2,Meal Plan 1,Room_Type 4,Online,0,149.4,3,2,0,0,80,0,0,3,Sep,Monday,train
INN05393,0,Meal Plan 1,Room_Type 1,Corporate,0,75.0,1,2,0,0,1,1,1,0,Nov,Thursday,train
INN22646,0,Meal Plan 1,Room_Type 1,Offline,0,96.9,3,3,0,0,71,0,0,1,Aug,Thursday,train
INN23102,0,Meal Plan 2,Room_Type 2,Offline,0,113.4,3,2,0,0,40,0,0,1,Oct,Friday,train
INN24158,2,Meal Plan 1,Room_Type 1,Online,0,83.2,3,2,1,0,17,0,0,0,Nov,Tuesday,train
INN34675,0,Not Selected,Room_Type 1,Online,0,100.0,1,1,0,0,14,0,0,1,Nov,Friday,train
INN30237,0,Meal Plan 1,Room_Type 4,Online,0,125.55,2,2,0,0,44,0,0,1,Oct,Friday,train
INN23223,2,Meal Plan 1,Room_Type 1,Online,0,104.43,5,1,0,0,21,0,0,2,Sep,Tuesday,train
INN06652,2,Meal Plan 1,Room_Type 1,Online,0,102.28,4,2,0,0,132,0,0,0,Jul,Saturday,train
INN12176,0,Meal Plan 1,Room_Type 4,Aviation,0,110.0,1,1,0,0,9,1,1,0,May,Saturday,train
INN04089,0,Meal Plan 1,Room_Type 1,Offline,0,75.0,3,2,0,0,44,0,0,0,Feb,Saturday,train
INN24214,0,Meal Plan 1,Room_Type 1,Offline,0,100.0,2,1,0,0,164,0,0,0,Oct,Monday,train
INN12276,2,Meal Plan 1,Room_Type 1,Offline,0,74.8,2,2,0,0,80,0,0,0,Mar,Sunday,train
INN29287,0,Meal Plan 1,Room_Type 1,Offline,0,120.0,2,2,0,0,317,0,0,0,Sep,Saturday,train
INN08889,0,Meal Plan 1,Room_Type 1,Online,0,90.9,2,1,0,0,228,0,0,1,Aug,Friday,train
INN22545,0,Meal Plan 1,Room_Type 4,Online,0,145.0,2,3,0,0,3,0,0,0,Mar,Saturday,train
INN18917,1,Meal Plan 1,Room_Type 1,Offline,0,85.0,3,2,0,0,85,0,0,1,Oct,Saturday,train
INN01710,0,Meal Plan 1,Room_Type 1,Corporate,0,81.0,1,1,0,0,15,0,0,0,Feb,Monday,train
INN19557,0,Meal Plan 1,Room_Type 1,Online,0,150.0,2,2,0,0,18,0,0,0,Jun,Sunday,train
INN19244,1,Meal Plan 1,Room_Type 1,Online,0,108.34,2,2,1,0,103,0,0,1,Jul,Wednesday,train
INN34333,0,Meal Plan 1,Room_Type 1,Online,0,130.5,2,2,1,1,135,0,0,0,Aug,Thursday,train
INN19694,1,Meal Plan 1,Room_Type 4,Online,0,107.95,3,2,0,0,136,0,0,0,May,Wednesday,train
INN15103,2,Meal Plan 1,Room_Type 1,Online,0,98.6,2,2,0,0,0,0,0,1,Nov,Tuesday,train
INN19969,1,Meal Plan 2,Room_Type 1,Offline,0,115.0,1,2,0,0,301,0,0,1,Jul,Monday,train
INN19425,0,Meal Plan 1,Room_Type 1,Offline,0,75.0,1,2,0,0,105,0,0,0,Apr,Friday,train
INN10996,0,Meal Plan 1,Room_Type 1,Online,0,93.6,2,2,0,0,68,0,0,0,Nov,Sunday,train
INN22461,0,Meal Plan 1,Room_Type 1,Offline,0,69.0,1,1,0,0,9,0,0,0,Mar,Friday,train
INN10218,1,Meal Plan 1,Room_Type 1,Offline,0,72.0,2,2,0,0,290,0,0,0,Jun,Sunday,train
INN08012,2,Meal Plan 1,Room_Type 1,Online,0,90.9,0,2,0,0,78,0,0,0,Oct,Tuesday,train
INN35806,0,Meal Plan 1,Room_Type 4,Online,0,139.0,2,3,0,0,7,0,0,2,Feb,Monday,train
INN01737,0,Meal Plan 1,Room_Type 1,Online,0,105.3,2,2,0,0,58,0,0,0,Apr,Friday,train
INN31255,2,Meal Plan 1,Room_Type 1,Online,0,89.59,3,2,0,0,10,0,0,0,Dec,Monday,train
INN22513,1,Meal Plan 1,Room_Type 4,Offline,0,78.2,0,1,0,0,61,0,0,0,Dec,Wednesday,train
INN12379,1,Meal Plan 1,Room_Type 1,Offline,0,73.8,1,1,0,0,4,0,0,0,Feb,Thursday,train
INN18744,1,Not Selected,Room_Type 1,Online,0,77.92,2,2,0,0,21,0,0,1,Dec,Monday,train
INN09252,2,Meal Plan 1,Room_Type 1,Online,0,96.0,1,1,0,0,5,0,0,0,Oct,Wednesday,train
INN24536,0,Meal Plan 1,Room_Type 1,Online,0,105.3,3,2,0,0,76,0,0,0,Mar,Saturday,train
INN33080,2,Meal Plan 1,Room_Type 1,Offline,0,120.0,4,1,0,0,69,0,0,0,Jun,Tuesday,train
INN25342,1,Meal Plan 1,Room_Type 1,Online,0,143.0,1,2,1,0,7,0,0,1,Apr,Monday,train
INN32164,0,Not Selected,Room_Type 1,Online,0,88.0,1,2,1,0,30,0,0,1,Nov,Sunday,train
INN04992,0,Not Selected,Room_Type 1,Online,0,67.87,3,2,0,0,26,0,0,0,Mar,Saturday,train
INN20698,0,Meal Plan 1,Room_Type 4,Online,0,131.4,5,2,0,0,115,0,0,2,Aug,Thursday,train
INN34747,2,Meal Plan 1,Room_Type 4,Online,0,102.3,1,2,0,0,97,0,0,0,Apr,Monday,train
INN09703,1,Meal Plan 1,Room_Type 4,Online,0,148.5,1,3,0,0,53,0,0,0,Jul,Monday,train
INN10608,1,Meal Plan 1,Room_Type 1,Offline,0,110.0,0,2,0,0,258,0,0,0,Oct,Tuesday,train
INN14513,0,Meal Plan 1,Room_Type 1,Online,0,90.9,3,1,0,0,198,0,0,0,Oct,Thursday,train
INN01160,1,Meal Plan 1,Room_Type 1,Online,0,105.3,1,2,0,1,83,0,0,1,Mar,Monday,train
INN03158,0,Meal Plan 1,Room_Type 1,Offline,0,100.0,2,2,0,0,112,0,0,0,Jun,Saturday,train
INN13123,0,Not Selected,Room_Type 1,Online,0,109.25,4,2,0,0,8,0,0,0,Oct,Saturday,train
INN14969,2,Meal Plan 1,Room_Type 1,Online,0,135.15,3,2,1,0,75,0,0,0,Apr,Sunday,train
INN22132,0,Meal Plan 2,Room_Type 1,Offline,0,115.0,2,2,0,0,292,0,0,0,Jul,Saturday,train
INN11446,2,Meal Plan 1,Room_Type 4,Online,0,136.0,0,2,0,0,11,0,0,1,Oct,Wednesday,train
INN05671,1,Meal Plan 1,Room_Type 1,Online,0,151.0,2,2,0,0,21,0,0,0,Aug,Wednesday,train
INN02940,0,Meal Plan 1,Room_Type 1,Online,0,120.0,2,1,0,0,181,0,0,0,Oct,Thursday,train
INN35961,1,Meal Plan 1,Room_Type 4,Online,0,135.9,2,2,0,0,137,0,0,0,Sep,Sunday,train
INN27425,0,Meal Plan 1,Room_Type 1,Offline,0,110.0,3,2,0,0,183,0,0,0,Sep,Saturday,train
INN20384,1,Meal Plan 1,Room_Type 4,Online,0,131.0,1,2,0,0,5,0,0,1,Apr,Monday,train
INN07991,0,Meal Plan 1,Room_Type 1,Online,0,109.65,4,2,0,0,118,0,0,1,May,Friday,train
INN27289,1,Not Selected,Room_Type 1,Online,0,68.04,2,2,1,0,110,0,0,1,May,Wednesday,train
INN21772,2,Meal Plan 1,Room_Type 1,Offline,0,58.4,3,2,0,0,6,0,0,0,Oct,Sunday,train
INN00050,1,Meal Plan 1,Room_Type 4,Online,0,125.8,3,1,0,0,7,0,0,2,Dec,Saturday,train
INN05462,1,Meal Plan 1,Room_Type 1,Offline,0,75.0,1,2,0,0,59,0,0,0,Nov,Monday,train
INN03633,0,Meal Plan 1,Room_Type 1,Online,0,130.0,3,2,0,0,213,0,0,0,Jun,Thursday,train
INN02941,2,Meal Plan 1,Room_Type 1,Online,0,70.44,1,2,0,0,193,0,0,1,Jul,Monday,train
INN25386,0,Meal Plan 1,Room_Type 1,Offline,0,75.0,2,2,0,0,245,0,0,0,Jun,Sunday,train
INN14749,0,Meal Plan 1,Room_Type 1,Online,0,107.0,2,2,0,0,4,0,0,2,Mar,Thursday,train
INN01592,1,Meal Plan 1,Room_Type 1,Offline,0,80.0,2,2,0,0,186,0,0,0,Apr,Sunday,train
INN34377,2,Meal Plan 1,Room_Type 1,Online,0,81.6,5,2,0,0,0,0,0,2,Dec,Friday,train
INN28051,2,Meal Plan 1,Room_Type 1,Offline,0,102.0,3,2,0,0,192,0,0,0,Sep,Monday,train
INN33513,0,Meal Plan 1,Room_Type 1,Online,0,159.0,2,2,0,0,28,0,0,1,Sep,Sunday,train
INN18246,2,Meal Plan 1,Room_Type 1,Online,0,95.63,2,2,0,0,238,0,0,2,Sep,Monday,train
INN12084,1,Not Selected,Room_Type 1,Online,0,57.98,2,1,0,0,2,0,0,1,Feb,Monday,train
INN21659,1,Not Selected,Room_Type 1,Online,0,88.0,1,2,0,0,28,0,0,1,Dec,Monday,train
INN22779,0,Meal Plan 1,Room_Type 1,Online,0,109.8,2,2,0,1,130,0,0,1,Aug,Friday,train
INN19227,0,Meal Plan 1,Room_Type 1,Online,0,110.46,3,2,0,0,8,0,0,1,Jun,Saturday,train
INN21067,0,Meal Plan 2,Room_Type 1,Offline,0,108.0,1,2,0,0,72,0,0,0,Sep,Monday,train
INN00053,1,Meal Plan 1,Room_Type 1,Online,0,136.67,2,1,0,0,6,0,0,1,May,Wednesday,train
INN23115,0,Meal Plan 1,Room_Type 1,Offline,0,75.0,1,2,0,0,105,0,0,0,Apr,Friday,train
INN01029,1,Meal Plan 1,Room_Type 1,Online,0,105.9,2,2,0,0,41,0,0,2,Oct,Monday,train
INN31175,1,Meal Plan 1,Room_Type 6,Online,0,137.91,4,2,2,0,128,0,0,0,Aug,Friday,train
INN03687,1,Meal Plan 1,Room_Type 1,Online,0,120.0,0,1,0,0,111,0,0,0,Oct,Wednesday,train
INN12386,0,Meal Plan 2,Room_Type 1,Offline,0,90.0,2,1,0,0,292,0,0,0,Jul,Saturday,train
INN01275,0,Meal Plan 1,Room_Type 1,Online,0,126.3,2,3,0,0,40,0,0,2,Mar,Sunday,train
INN26565,0,Meal Plan 1,Room_Type 1,Corporate,0,80.0,3,1,0,0,34,0,0,0,Dec,Friday,train
INN23086,1,Meal Plan 1,Room_Type 1,Offline,0,85.0,0,2,0,0,13,0,0,0,Mar,Tuesday,train
INN17148,1,Meal Plan 1,Room_Type 1,Offline,0,75.0,2,1,0,0,114,0,0,0,Jul,Sunday,train
INN03121,2,Meal Plan 1,Room_Type 1,Online,0,149.0,1,2,1,0,23,0,0,0,Jun,Monday,train
INN22681,1,Meal Plan 1,Room_Type 1,Online,0,135.15,3,2,1,0,81,0,0,1,May,Wednesday,train
INN12926,0,Meal Plan 1,Room_Type 4,Online,0,174.67,3,2,0,0,4,0,0,1,Sep,Thursday,train
INN17725,2,Meal Plan 1,Room_Type 1,Offline,0,100.0,2,1,0,0,163,0,0,0,Jun,Tuesday,train
INN06755,0,Meal Plan 1,Room_Type 1,Offline,0,71.0,2,1,0,0,151,0,0,0,Jan,Friday,train
INN08310,0,Meal Plan 1,Room_Type 1,Corporate,0,50.0,1,1,0,1,0,1,3,1,Mar,Saturday,train
INN06276,0,Meal Plan 2,Room_Type 1,Online,0,117.0,4,2,0,0,296,0,0,1,Sep,Friday,train
INN28759,2,Meal Plan 1,Room_Type 1,Offline,0,60.0,1,2,1,0,53,0,0,1,Jan,Wednesday,train
INN31774,1,Meal Plan 1,Room_Type 1,Corporate,0,137.7,1,1,0,0,10,0,0,0,Jul,Wednesday,train
INN22729,1,Meal Plan 1,Room_Type 1,Online,0,126.9,0,2,0,0,36,0,0,1,May,Tuesday,train
INN05529,2,Meal Plan 1,Room_Type 1,Offline,0,63.75,2,1,0,0,50,0,0,0,Dec,Monday,train
INN01296,0,Not Selected,Room_Type 1,Online,0,88.0,1,2,0,0,11,0,0,0,Dec,Thursday,train
INN23902,2,Meal Plan 1,Room_Type 4,Aviation,0,99.0,0,1,0,0,2,0,0,0,Oct,Tuesday,train
INN05000,0,Not Selected,Room_Type 1,Online,0,76.08,2,1,0,0,8,0,0,0,Jun,Thursday,train
INN33114,0,Meal Plan 1,Room_Type 1,Offline,0,75.0,3,2,0,0,36,0,0,0,Nov,Thursday,train
INN00672,1,Not Selected,Room_Type 1,Online,0,105.3,1,2,0,0,49,0,0,0,Jul,Monday,train
INN15592,0,Meal Plan 1,Room_Type 1,Offline,0,52.0,2,2,0,0,308,0,0,0,Nov,Sunday,train
INN35909,0,Meal Plan 1,Room_Type 1,Offline,0,115.0,2,1,0,0,103,0,0,0,Apr,Thursday,train
INN25490,0,Meal Plan 2,Room_Type 1,Offline,0,96.0,3,1,0,0,88,0,0,0,May,Thursday,train
INN29606,1,Meal Plan 1,Room_Type 1,Online,0,160.0,0,2,1,0,10,0,0,1,Jul,Tuesday,train
INN11477,1,Not Selected,Room_Type 1,Online,0,116.1,2,2,0,0,128,0,0,0,Jun,Sunday,train
INN01788,1,Meal Plan 1,Room_Type 7,Online,0,263.91,3,2,2,0,71,0,0,0,Oct,Saturday,train
INN17197,2,Meal Plan 2,Room_Type 1,Offline,0,94.5,1,2,0,0,145,0,0,0,Aug,Tuesday,train
INN20819,1,Meal Plan 1,Room_Type 1,Online,0,100.87,1,2,0,0,6,0,0,2,May,Wednesday,train
INN22816,0,Meal Plan 1,Room_Type 4,Online,0,158.5,4,2,0,0,3,0,0,2,Jun,Thursday,train
INN18481,1,Meal Plan 1,Room_Type 4,Online,0,99.0,0,2,0,0,0,0,0,0,Jan,Wednesday,train
INN16292,2,Meal Plan 1,Room_Type 1,Online,0,111.0,0,2,0,0,15,0,0,0,May,Tuesday,train
INN21004,0,Meal Plan 1,Room_Type 4,Online,0,149.4,3,2,0,0,103,0,0,0,Sep,Saturday,train
INN20150,1,Meal Plan 1,Room_Type 1,Offline,0,85.0,0,1,0,0,12,0,0,1,Sep,Tuesday,train
INN00616,2,Meal Plan 1,Room_Type 1,Online,0,94.5,1,2,0,0,32,0,0,3,Sep,Tuesday,train
INN14271,0,Meal Plan 1,Room_Type 1,Online,0,76.46,3,2,0,0,164,0,0,0,Aug,Friday,train
INN16543,0,Meal Plan 1,Room_Type 1,Offline,0,71.0,3,1,0,0,151,0,0,0,Jan,Friday,train
INN10914,1,Meal Plan 1,Room_Type 1,Online,0,128.7,1,3,0,0,196,0,0,0,Aug,Monday,train
INN27077,2,Meal Plan 1,Room_Type 1,Online,0,90.45,2,2,0,0,98,0,0,1,Oct,Tuesday,train
INN19084,0,Meal Plan 1,Room_Type 1,Corporate,0,75.0,1,1,0,0,16,0,0,0,Mar,Sunday,train
INN05746,2,Meal Plan 1,Room_Type 1,Online,0,117.41,6,2,0,0,130,0,0,1,Jun,Saturday,train
INN12968,0,Meal Plan 1,Room_Type 1,Offline,0,73.0,2,1,0,0,32,0,0,0,Nov,Monday,train
INN00345,1,Meal Plan 1,Room_Type 4,Online,0,137.7,1,3,0,0,69,0,0,0,Jul,Wednesday,train
INN14609,1,Meal Plan 1,Room_Type 6,Offline,0,82.0,2,2,0,0,69,0,0,0,Jan,Monday,train
INN10183,2,Not Selected,Room_Type 1,Online,0,107.1,4,1,0,0,37,0,0,0,Mar,Saturday,train
INN35626,1,Meal Plan 1,Room_Type 1,Offline,0,94.0,0,2,0,0,3,0,0,0,Jan,Wednesday,train
INN30973,2,Meal Plan 1,Room_Type 1,Offline,0,124.0,3,3,0,0,65,0,0,1,Mar,Tuesday,train
INN17054,0,Meal Plan 1,Room_Type 1,Online,0,158.0,3,1,0,0,8,0,0,0,Oct,Saturday,train
INN19565,2,Meal Plan 1,Room_Type 1,Offline,0,85.0,1,1,0,0,44,0,0,0,Apr,Monday,train
INN05218,0,Meal Plan 1,Room_Type 1,Online,0,110.0,3,2,0,0,279,0,0,0,Oct,Friday,train
INN30091,2,Meal Plan 1,Room_Type 1,Offline,0,100.0,2,1,0,0,163,0,0,0,Jun,Tuesday,train
INN10467,2,Meal Plan 1,Room_Type 1,Online,0,118.8,2,2,0,0,91,0,0,1,Oct,Monday,train
INN25036,0,Meal Plan 1,Room_Type 4,Online,0,141.3,1,3,0,0,56,0,0,0,Jun,Saturday,train
INN11183,0,Meal Plan 1,Room_Type 1,Corporate,0,90.0,1,2,0,0,99,0,0,0,Feb,Monday,train
INN23805,2,Meal Plan 1,Room_Type 1,Online,0,99.45,5,2,0,0,144,0,0,1,Jul,Monday,train
INN32648,2,Meal Plan 1,Room_Type 1,Online,0,58.36,5,2,0,0,245,0,0,1,Dec,Thursday,train
INN26164,2,Meal Plan 1,Room_Type 1,Offline,0,112.0,2,2,0,0,44,0,0,0,Nov,Monday,train
INN17474,0,Not Selected,Room_Type 1,Online,0,78.8,1,1,0,0,11,0,0,0,Jun,Thursday,train
INN31321,1,Meal Plan 1,Room_Type 1,Online,0,83.3,2,2,0,0,55,0,0,1,Feb,Monday,train
INN12375,2,Meal Plan 1,Room_Type 1,Offline,0,77.0,0,1,0,0,2,0,0,0,Sep,Wednesday,train
INN25204,0,Not Selected,Room_Type 1,Online,0,99.0,2,2,0,0,28,0,0,0,Sep,Saturday,train
INN14950,1,Meal Plan 1,Room_Type 4,Online,0,141.3,4,3,0,0,106,0,0,1,Jul,Wednesday,train
INN07532,0,Meal Plan 1,Room_Type 4,Complementary,0,0.0,1,1,0,0,0,1,17,2,Feb,Saturday,train
INN00061,0,Meal Plan 1,Room_Type 6,Online,0,258.0,1,2,2,1,2,0,0,1,Sep,Sunday,train
INN29494,2,Meal Plan 2,Room_Type 1,Offline,0,100.0,5,2,0,0,5,0,0,1,Aug,Friday,train
INN05011,0,Not Selected,Room_Type 1,Online,0,79.0,1,2,0,0,12,0,0,0,Feb,Friday,train
INN35975,1,Meal Plan 1,Room_Type 1,Online,0,189.5,1,1,0,0,14,0,0,1,Nov,Wednesday,train
INN01337,2,Meal Plan 2,Room_Type 1,Online,0,94.5,1,2,0,0,110,0,0,0,Jul,Tuesday,train
INN17523,0,Not Selected,Room_Type 1,Offline,0,121.0,1,1,0,0,1,0,0,0,Sep,Saturday,train
INN12360,2,Meal Plan 1,Room_Type 4,Online,0,130.99,7,2,0,0,139,0,0,0,Jul,Friday,train
INN26844,0,Meal Plan 1,Room_Type 4,Online,0,108.3,3,2,2,0,210,0,0,3,Aug,Friday,train
INN09722,0,Meal Plan 1,Room_Type 1,Offline,0,90.0,1,2,0,0,92,0,0,0,Nov,Sunday,train
INN33143,2,Meal Plan 1,Room_Type 1,Online,0,65.96,2,2,0,0,108,0,0,0,Mar,Tuesday,train
